LoincNumber,LongCommonName,PartNumber,PartTypeName,PartName,PartSequenceOrder,RID,PreferredName,RPID,LongName
37492-6,CT Guidance for biopsy of Chest Pleura,LP200057-0,Rad.Guidance for.Approach,Percutaneous,A,RID11176,Percutaneous,,
37492-6,CT Guidance for biopsy of Chest Pleura,LP200041-4,Rad.Guidance for.Action,Biopsy,A,RID38611,Biopsy,,
37492-6,CT Guidance for biopsy of Chest Pleura,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
37493-4,CT Guidance for injection of Cervical spine Intervertebral disc,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
37493-4,CT Guidance for injection of Cervical spine Intervertebral disc,LP200046-3,Rad.Guidance for.Action,Injection,A,RID28842,Injection,,
37493-4,CT Guidance for injection of Cervical spine Intervertebral disc,LP199995-4,Rad.Anatomic Location.Region Imaged,Neck,A,RID7488,neck,,
37493-4,CT Guidance for injection of Cervical spine Intervertebral disc,LP200067-9,Rad.Modality.Modality type,CT,A,RID10321,computed tomography,,
37493-4,CT Guidance for injection of Cervical spine Intervertebral disc,LP262346-2,Rad.Anatomic Location.Imaging Focus,Spine.cervical intervertebral disc,A,RID7890,Intervertebral disk,,
37494-2,RF Guidance for injection of Tendon,LP208055-6,Rad.Anatomic Location.Imaging Focus,Tendon,A,RID6067,tendon,,
37494-2,RF Guidance for injection of Tendon,LP220472-7,Rad.Modality.Modality type,RF,A,RID10361,Fluoroscopy,,
37494-2,RF Guidance for injection of Tendon,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,,
37494-2,RF Guidance for injection of Tendon,LP200046-3,Rad.Guidance for.Action,Injection,A,RID28842,Injection,,
37494-2,RF Guidance for injection of Tendon,LP200066-1,Rad.Guidance for.Presence,Guidance,A,RID35732,Guidance,,
37495-9,CT Skull base,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A,RID9080,head,,
37495-9,CT Skull base,LP200067-9,Rad.Modality.Modality type,CT,A,RID10321,computed tomography,,
37495-9,CT Skull base,LP200014-1,Rad.Anatomic Location.Imaging Focus,Skull.base,A,RID28731,Base of cranium,,
37496-7,CT Cervical spine W contrast intradisc,LP200067-9,Rad.Modality.Modality type,CT,A,RID10321,computed tomography,,
37496-7,CT Cervical spine W contrast intradisc,LP200017-4,Rad.Anatomic Location.Imaging Focus,Spine.cervical,A,RID34571,Cervical vertebral column,,
37496-7,CT Cervical spine W contrast intradisc,LP200076-0,Rad.Pharmaceutical.Route,Intradisc,A,RID11125,intradiscal,,
37496-7,CT Cervical spine W contrast intradisc,LP199995-4,Rad.Anatomic Location.Region Imaged,Neck,A,RID7488,neck,,
37496-7,CT Cervical spine W contrast intradisc,LP200088-5,Rad.Timing,W,A,RID49853,W,,
37496-7,CT Cervical spine W contrast intradisc,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37497-5,MRA Spine vessels,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,RPID833,MR Spine Angio wo IV Contrast
37497-5,MRA Spine vessels,LP207324-7,Rad.Anatomic Location.Imaging Focus,Spine vessels,A,RID49935,Set of spine vessels,RPID833,MR Spine Angio wo IV Contrast
37497-5,MRA Spine vessels,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,RPID833,MR Spine Angio wo IV Contrast
37497-5,MRA Spine vessels,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,RPID833,MR Spine Angio wo IV Contrast
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP200067-9,Rad.Modality.Modality type,CT,A,RID10321,computed tomography,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP199977-2,Rad.Anatomic Location.Region Imaged,Head,A.A,RID9080,head,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP207133-2,Rad.Anatomic Location.Imaging Focus,Head vessels,A.A,RID49926,Set of head vessels,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP207132-4,Rad.Anatomic Location.Imaging Focus,Neck vessels,A.B,RID49931,Set of neck vessels,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP199955-8,Rad.Anatomic Location.Laterality,Unspecified,A.B,RID49843,Unspecified laterality,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP199995-4,Rad.Anatomic Location.Region Imaged,Neck,A.B,RID7488,neck,,
37498-3,CTA Head vessels and Neck vessels W contrast IV,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A.B,RID49844,Laterality present,,
37500-6,MRA Spine vessels W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
37500-6,MRA Spine vessels W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37500-6,MRA Spine vessels W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
37500-6,MRA Spine vessels W contrast IV,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,,
37500-6,MRA Spine vessels W contrast IV,LP207324-7,Rad.Anatomic Location.Imaging Focus,Spine vessels,A,RID49935,Set of spine vessels,,
37500-6,MRA Spine vessels W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37500-6,MRA Spine vessels W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37501-4,MRA Cervical spine vessels W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37501-4,MRA Cervical spine vessels W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37501-4,MRA Cervical spine vessels W contrast IV,LP207322-1,Rad.Anatomic Location.Imaging Focus,Spine.cervical vessels,A,RID49936,Set of cervical spine vessels,,
37501-4,MRA Cervical spine vessels W contrast IV,LP199995-4,Rad.Anatomic Location.Region Imaged,Neck,A,RID7488,neck,,
37501-4,MRA Cervical spine vessels W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
37501-4,MRA Cervical spine vessels W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37501-4,MRA Cervical spine vessels W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
37502-2,MRA Lumbar spine vessels W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
37502-2,MRA Lumbar spine vessels W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37502-2,MRA Lumbar spine vessels W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
37502-2,MRA Lumbar spine vessels W contrast IV,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
37502-2,MRA Lumbar spine vessels W contrast IV,LP207323-9,Rad.Anatomic Location.Imaging Focus,Spine.lumbar vessels,A,RID49937,Set of lumbar spine vessels,,
37502-2,MRA Lumbar spine vessels W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37502-2,MRA Lumbar spine vessels W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37503-0,MRA Thoracic spine vessels W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37503-0,MRA Thoracic spine vessels W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37503-0,MRA Thoracic spine vessels W contrast IV,LP207321-3,Rad.Anatomic Location.Imaging Focus,Spine.thoracic vessels,A,RID49938,Set of thoracic spine vessels,,
37503-0,MRA Thoracic spine vessels W contrast IV,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
37503-0,MRA Thoracic spine vessels W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
37503-0,MRA Thoracic spine vessels W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37503-0,MRA Thoracic spine vessels W contrast IV,LP200088-5,Rad.Timing,W,A,RID49853,W,,
37505-5,MRA Spine vessels WO and W contrast IV,LP200090-1,Rad.Timing,WO & W,A,RID49855,WO & W,RPID570,MR Spine Angio w and wo IV Contrast
37505-5,MRA Spine vessels WO and W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,RPID570,MR Spine Angio w and wo IV Contrast
37505-5,MRA Spine vessels WO and W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,RPID570,MR Spine Angio w and wo IV Contrast
37505-5,MRA Spine vessels WO and W contrast IV,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,RPID570,MR Spine Angio w and wo IV Contrast
37505-5,MRA Spine vessels WO and W contrast IV,LP207324-7,Rad.Anatomic Location.Imaging Focus,Spine vessels,A,RID49935,Set of spine vessels,RPID570,MR Spine Angio w and wo IV Contrast
37505-5,MRA Spine vessels WO and W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,RPID570,MR Spine Angio w and wo IV Contrast
37505-5,MRA Spine vessels WO and W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,RPID570,MR Spine Angio w and wo IV Contrast
37506-3,MRA Cervical spine vessels WO and W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37506-3,MRA Cervical spine vessels WO and W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37506-3,MRA Cervical spine vessels WO and W contrast IV,LP207322-1,Rad.Anatomic Location.Imaging Focus,Spine.cervical vessels,A,RID49936,Set of cervical spine vessels,,
37506-3,MRA Cervical spine vessels WO and W contrast IV,LP199995-4,Rad.Anatomic Location.Region Imaged,Neck,A,RID7488,neck,,
37506-3,MRA Cervical spine vessels WO and W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
37506-3,MRA Cervical spine vessels WO and W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37506-3,MRA Cervical spine vessels WO and W contrast IV,LP200090-1,Rad.Timing,WO & W,A,RID49855,WO & W,,
37507-1,MRA Lumbar spine vessels WO and W contrast IV,LP200090-1,Rad.Timing,WO & W,A,RID49855,WO & W,,
37507-1,MRA Lumbar spine vessels WO and W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37507-1,MRA Lumbar spine vessels WO and W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
37507-1,MRA Lumbar spine vessels WO and W contrast IV,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
37507-1,MRA Lumbar spine vessels WO and W contrast IV,LP207323-9,Rad.Anatomic Location.Imaging Focus,Spine.lumbar vessels,A,RID49937,Set of lumbar spine vessels,,
37507-1,MRA Lumbar spine vessels WO and W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37507-1,MRA Lumbar spine vessels WO and W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37508-9,MRA Thoracic spine vessels WO and W contrast IV,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37508-9,MRA Thoracic spine vessels WO and W contrast IV,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37508-9,MRA Thoracic spine vessels WO and W contrast IV,LP207321-3,Rad.Anatomic Location.Imaging Focus,Spine.thoracic vessels,A,RID49938,Set of thoracic spine vessels,,
37508-9,MRA Thoracic spine vessels WO and W contrast IV,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
37508-9,MRA Thoracic spine vessels WO and W contrast IV,LP200078-6,Rad.Pharmaceutical.Route,IV,A,RID11160,intravenous,,
37508-9,MRA Thoracic spine vessels WO and W contrast IV,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37508-9,MRA Thoracic spine vessels WO and W contrast IV,LP200090-1,Rad.Timing,WO & W,A,RID49855,WO & W,,
37509-7,CT Lumbar spine W contrast intradisc,LP200088-5,Rad.Timing,W,A,RID49853,W,,
37509-7,CT Lumbar spine W contrast intradisc,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37509-7,CT Lumbar spine W contrast intradisc,LP200076-0,Rad.Pharmaceutical.Route,Intradisc,A,RID11125,intradiscal,,
37509-7,CT Lumbar spine W contrast intradisc,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A,RID56,Abdomen,,
37509-7,CT Lumbar spine W contrast intradisc,LP200018-2,Rad.Anatomic Location.Imaging Focus,Spine.lumbar,A,RID34573,Lumbar vertebral column,,
37509-7,CT Lumbar spine W contrast intradisc,LP200067-9,Rad.Modality.Modality type,CT,A,RID10321,computed tomography,,
37510-5,MRA Spine vessels WO contrast,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37510-5,MRA Spine vessels WO contrast,LP207324-7,Rad.Anatomic Location.Imaging Focus,Spine vessels,A,RID49935,Set of spine vessels,,
37510-5,MRA Spine vessels WO contrast,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37510-5,MRA Spine vessels WO contrast,LP213584-8,Rad.Anatomic Location.Region Imaged,XXX,A,RID6062,Body region,,
37510-5,MRA Spine vessels WO contrast,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37510-5,MRA Spine vessels WO contrast,LP200089-3,Rad.Timing,WO,A,RID49854,WO,,
37511-3,MRA Cervical spine vessels WO contrast,LP200089-3,Rad.Timing,WO,A,RID49854,WO,,
37511-3,MRA Cervical spine vessels WO contrast,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37511-3,MRA Cervical spine vessels WO contrast,LP199995-4,Rad.Anatomic Location.Region Imaged,Neck,A,RID7488,neck,,
37511-3,MRA Cervical spine vessels WO contrast,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37511-3,MRA Cervical spine vessels WO contrast,LP207322-1,Rad.Anatomic Location.Imaging Focus,Spine.cervical vessels,A,RID49936,Set of cervical spine vessels,,
37511-3,MRA Cervical spine vessels WO contrast,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37512-1,MRA Thoracic spine vessels WO contrast,LP206549-0,Rad.Modality.Modality type,MR,A,RID10312,Magnetic resonance imaging,,
37512-1,MRA Thoracic spine vessels WO contrast,LP207321-3,Rad.Anatomic Location.Imaging Focus,Spine.thoracic vessels,A,RID49938,Set of thoracic spine vessels,,
37512-1,MRA Thoracic spine vessels WO contrast,LP200068-7,Rad.Modality.Modality subtype,Angio,A,RID10371,ANGIOGRAPHY,,
37512-1,MRA Thoracic spine vessels WO contrast,LP199962-4,Rad.Anatomic Location.Region Imaged,Chest,A,RID1243,Thorax,,
37512-1,MRA Thoracic spine vessels WO contrast,LP200085-1,Rad.Pharmaceutical.Substance Given,Contrast,A,RID11582,Contrast agent,,
37512-1,MRA Thoracic spine vessels WO contrast,LP200089-3,Rad.Timing,WO,A,RID49854,WO,,
37513-9,XR Tibia - bilateral 10 degree caudal angle,LP220544-3,Rad.View.View type,10 degree caudal angle,A,RID50087,10 degree caudal angle view,,
37513-9,XR Tibia - bilateral 10 degree caudal angle,LP222059-0,Rad.View.Aggregation,View,A,RID43399,1 view,,
37513-9,XR Tibia - bilateral 10 degree caudal angle,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
37513-9,XR Tibia - bilateral 10 degree caudal angle,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37513-9,XR Tibia - bilateral 10 degree caudal angle,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37513-9,XR Tibia - bilateral 10 degree caudal angle,LP207281-9,Rad.Anatomic Location.Imaging Focus,Tibia,A,RID2885,Tibia,,
37513-9,XR Tibia - bilateral 10 degree caudal angle,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
37514-7,XR Tibia - left 10 degree caudal angle,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
37514-7,XR Tibia - left 10 degree caudal angle,LP207281-9,Rad.Anatomic Location.Imaging Focus,Tibia,A,RID2885,Tibia,,
37514-7,XR Tibia - left 10 degree caudal angle,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37514-7,XR Tibia - left 10 degree caudal angle,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37514-7,XR Tibia - left 10 degree caudal angle,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
37514-7,XR Tibia - left 10 degree caudal angle,LP222059-0,Rad.View.Aggregation,View,A,RID43399,1 view,,
37514-7,XR Tibia - left 10 degree caudal angle,LP220544-3,Rad.View.View type,10 degree caudal angle,A,RID50087,10 degree caudal angle view,,
37515-4,XR Spine lumbosacral junction lateral spot,LP222059-0,Rad.View.Aggregation,View,A,RID43399,1 view,,
37515-4,XR Spine lumbosacral junction lateral spot,LP220576-5,Rad.View.View type,lateral spot,A,RID50109,Lateral spot view,,
37515-4,XR Spine lumbosacral junction lateral spot,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37515-4,XR Spine lumbosacral junction lateral spot,LP230292-7,Rad.Anatomic Location.Imaging Focus,Spine.lumbosacral junction,A,RID28734,Lumbosacral junction,,
37515-4,XR Spine lumbosacral junction lateral spot,LP199998-8,Rad.Anatomic Location.Region Imaged,Pelvis,A.A,RID2507,Pelvis,,
37515-4,XR Spine lumbosacral junction lateral spot,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A.A,RID56,Abdomen,,
37516-2,XR Spine lumbosacral junction lateral spot W standing,LP230292-7,Rad.Anatomic Location.Imaging Focus,Spine.lumbosacral junction,A,RID28734,Lumbosacral junction,,
37516-2,XR Spine lumbosacral junction lateral spot W standing,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37516-2,XR Spine lumbosacral junction lateral spot W standing,LP220576-5,Rad.View.View type,lateral spot,A,RID50109,Lateral spot view,,
37516-2,XR Spine lumbosacral junction lateral spot W standing,LP221186-2,Rad.Maneuver.Maneuver type,Standing,A,RID50083,Standing maneuver,,
37516-2,XR Spine lumbosacral junction lateral spot W standing,LP200088-5,Rad.Timing,W,A,RID49853,W,,
37516-2,XR Spine lumbosacral junction lateral spot W standing,LP222059-0,Rad.View.Aggregation,View,A,RID43399,1 view,,
37516-2,XR Spine lumbosacral junction lateral spot W standing,LP199956-6,Rad.Anatomic Location.Region Imaged,Abdomen,A.A,RID56,Abdomen,,
37516-2,XR Spine lumbosacral junction lateral spot W standing,LP199998-8,Rad.Anatomic Location.Region Imaged,Pelvis,A.A,RID2507,Pelvis,,
37517-0,XR Finger fifth - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37517-0,XR Finger fifth - bilateral,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
37517-0,XR Finger fifth - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37517-0,XR Finger fifth - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37517-0,XR Finger fifth - bilateral,LP222076-4,Rad.Anatomic Location.Imaging Focus,Finger.fifth,A,RID2400,Small finger,,
37517-0,XR Finger fifth - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
37518-8,XR Finger fifth - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
37518-8,XR Finger fifth - left,LP222076-4,Rad.Anatomic Location.Imaging Focus,Finger.fifth,A,RID2400,Small finger,,
37518-8,XR Finger fifth - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37518-8,XR Finger fifth - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37518-8,XR Finger fifth - left,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
37518-8,XR Finger fifth - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37519-6,XR Finger fourth - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37519-6,XR Finger fourth - bilateral,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
37519-6,XR Finger fourth - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37519-6,XR Finger fourth - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37519-6,XR Finger fourth - bilateral,LP222075-6,Rad.Anatomic Location.Imaging Focus,Finger.fourth,A,RID2398,Ring finger,,
37519-6,XR Finger fourth - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
37520-4,XR Finger fourth - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
37520-4,XR Finger fourth - left,LP222075-6,Rad.Anatomic Location.Imaging Focus,Finger.fourth,A,RID2398,Ring finger,,
37520-4,XR Finger fourth - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37520-4,XR Finger fourth - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37520-4,XR Finger fourth - left,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
37520-4,XR Finger fourth - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37521-2,XR Finger second - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37521-2,XR Finger second - bilateral,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
37521-2,XR Finger second - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37521-2,XR Finger second - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37521-2,XR Finger second - bilateral,LP222073-1,Rad.Anatomic Location.Imaging Focus,Finger.second,A,RID2394,Index finger,,
37521-2,XR Finger second - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
37522-0,XR Finger second - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
37522-0,XR Finger second - left,LP222073-1,Rad.Anatomic Location.Imaging Focus,Finger.second,A,RID2394,Index finger,,
37522-0,XR Finger second - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37522-0,XR Finger second - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37522-0,XR Finger second - left,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
37522-0,XR Finger second - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37523-8,XR Finger third - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37523-8,XR Finger third - bilateral,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
37523-8,XR Finger third - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37523-8,XR Finger third - bilateral,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37523-8,XR Finger third - bilateral,LP222074-9,Rad.Anatomic Location.Imaging Focus,Finger.third,A,RID2396,Long finger,,
37523-8,XR Finger third - bilateral,LP199951-7,Rad.Anatomic Location.Laterality,Bilateral,A,RID5771,Bilateral,,
37524-6,XR Finger third - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
37524-6,XR Finger third - left,LP222074-9,Rad.Anatomic Location.Imaging Focus,Finger.third,A,RID2396,Long finger,,
37524-6,XR Finger third - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37524-6,XR Finger third - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37524-6,XR Finger third - left,LP200031-5,Rad.Anatomic Location.Region Imaged,Upper extremity,A,RID1850,Upper extremity,,
37524-6,XR Finger third - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37530-3,XR Toe fifth - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37530-3,XR Toe fifth - left,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
37530-3,XR Toe fifth - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37530-3,XR Toe fifth - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37530-3,XR Toe fifth - left,LP221481-7,Rad.Anatomic Location.Imaging Focus,Toe.fifth,A,RID2999,Fifth toe,,
37530-3,XR Toe fifth - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
37531-1,XR Toe fourth - left,LP199952-5,Rad.Anatomic Location.Laterality,Left,A,RID5824,LEFT,,
37531-1,XR Toe fourth - left,LP221480-9,Rad.Anatomic Location.Imaging Focus,Toe.fourth,A,RID2998,Fourth toe,,
37531-1,XR Toe fourth - left,LP212285-3,Rad.Modality.Modality type,XR,A,RID10345,projection radiography,,
37531-1,XR Toe fourth - left,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
37531-1,XR Toe fourth - left,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
37531-1,XR Toe fourth - left,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37532-9,XR Great toe - bilateral,LP221404-9,Rad.View.Aggregation,Views,A,RID49567,multiple views,,
37532-9,XR Great toe - bilateral,LP199985-5,Rad.Anatomic Location.Region Imaged,Lower extremity,A,RID2638,Lower extremity,,
37532-9,XR Great toe - bilateral,LP199954-1,Rad.Anatomic Location.Laterality.Presence,TRUE,A,RID49844,Laterality present,,
